date,time,day,station,code,min_delay,min_gap,bound,vehicle,datetime,hour,day_of_week,is_delayed,_id,delay_reason,is_weekend,is_peak,line_109 RANEE,line_20 CLIFFSIDE,line_77 SWANSEA,line_BD,line_BD LINE 2,line_SHP,line_SRT,line_YU,line_YU/BD,line_YUS,cause_category_Customer,cause_category_Mechanical,cause_category_Other,cause_category_Track Issue,cause_category_Unknown,cause_category_Weather
2024-01-19,07:39,Friday,DUNDAS WEST STATION,SUAE,2,4,E,5175,2024-01-19 07:39:00,7,4,0,110.0,ASSAULT / EMPLOYEE INVOLVED,0,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2024-02-15,08:40,Thursday,PAPE STATION,MUO,2,4,E,0,2024-02-15 08:40:00,8,3,0,51.0,MISCELLANEOUS OTHER,0,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2024-02-15,08:43,Thursday,KIPLING STATION,MUTO,2,4,E,5038,2024-02-15 08:43:00,8,3,0,62.0,MISCELLANEOUS TRANSPORTATION OTHER (EMPLOYEE NON-CHARGEABLE),0,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2024-05-30,06:02,Thursday,BATHURST STATION,MUSAN,2,4,W,5253,2024-05-30 06:02:00,6,3,0,59.0,UNSANITARY VEHICLE,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2024-07-15,07:27,Monday,DONLANDS STATION,TUNOA,2,4,W,0,2024-07-15 07:27:00,7,0,0,131.0,NO OPERATOR AVAILABLE,0,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2024-08-06,06:14,Tuesday,KENNEDY BD STATION,EUBO,2,4,E,5280,2024-08-06 06:14:00,6,1,0,5.0,BODY,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2024-08-06,06:18,Tuesday,GREENWOOD STATION,TUNOA,2,4,E,0,2024-08-06 06:18:00,6,1,0,131.0,NO OPERATOR AVAILABLE,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2024-08-06,06:25,Tuesday,DONLANDS STATION,TUNOA,2,4,W,0,2024-08-06 06:25:00,6,1,0,131.0,NO OPERATOR AVAILABLE,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2024-08-07,09:04,Wednesday,KIPLING STATION,EUPI,2,4,W,5064,2024-08-07 09:04:00,9,2,0,22.0,T-1 PROPULSION SYSTEM,0,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2024-08-12,07:13,Monday,GREENWOOD STATION,MUNOA,2,4,E,0,2024-08-12 07:13:00,7,0,0,50.0,NO OPERATOR AVAILABLE â NON ESA RELATED,0,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
